user_name,user_id,video_id,video_desc,video_time,video_length,video_link,n_likes,n_shares,n_comments,n_plays
tiktok_uk,8811223,6923863648611896577,It started with a song about the sea and now it’s top of the UK charts. Here’s how The Wellerman changed the life of @nathanevanss ⚓️ #seashanty,1612087632,29,https://www.tiktok.com/@tiktok_uk/video/6923863648611896577?lang=en,4030,20,266,56800
pudgywoke,6576121525962735622,6922543530422406406,Reply to @tiktok #VERIFYPUDGY,1611780276,15,https://www.tiktok.com/@pudgywoke/video/6922543530422406406?lang=en,2400000,4145,44200,11500000
pudgywoke,6576121525962735622,6924744983937322246,Reply to @tiktok OWA OWA VIBE TRIBE ♾,1612292841,15,https://www.tiktok.com/@pudgywoke/video/6924744983937322246?lang=en,7600000,119400,110800,28800000
pudgywoke,6576121525962735622,6924522468983999750,Goodnight everybody speak kindly to the universe before you go to sleep! Wake up with gratitude 🥰,1612241050,15,https://www.tiktok.com/@pudgywoke/video/6924522468983999750?lang=en,1100000,6480,20800,7900000
cococuenod,156624458412068864,6921820696578379014,This was... interesting 🙃 tell me challenges you want to see next!! Thanks for the love on Instagram 😭❤️ #fyp,1611611982,29,https://www.tiktok.com/@cococuenod/video/6921820696578379014?lang=en,7700000,18600,32000,36700000
alltimelow,6789735809320993797,6922175465532787973,MOM IT WAS NEVER A PHASE,1611694583,16,https://www.tiktok.com/@alltimelow/video/6922175465532787973?lang=en,2100000,98700,23500,8400000
soupytime,6613536762005438469,6916227922328112390,not sure what you expected,1610309812,13,https://www.tiktok.com/@soupytime/video/6916227922328112390?lang=en,1400000,17300,16300,7500000
creatorportal,6603963650142617606,6919597385815543042,"Introducing TikTok Creator Portal, for anyone who creates or wants to learn to create on TikTok.",1611094388,20,https://www.tiktok.com/@creatorportal/video/6919597385815543042?lang=en,1800000,14500,18000,191100000
sophhutchinson0,6805225507556688901,6914729273316216065,just wanna see if my solo career will take off better #fyp,1609960870,15,https://www.tiktok.com/@sophhutchinson0/video/6914729273316216065?lang=en,13300000,232200,86700,78600000
mariarengi,1290133,6920314780569996550,✨omg thank you @tiktok 🥺 been doing this for almost 6 years..wouldn’t be here without you all🥰💜 #hello2021 #lovefromtiktok,1611261358,15,https://www.tiktok.com/@mariarengi/video/6920314780569996550?lang=en,2874,4,95,26500
